edad,sexo,estado,gap,time,peso total,covey,dist camino,Oxalis,ppanual17,tmedia17,altitud,lat,lon,hcrop,hland
0.0,1.0,0.0,1.0,34.0,0.35365428758812917,0.0,0.04824059132788506,0.0,0.7350649350649351,0.8310316846133958,0.25609756097560976,0.050814013783355705,0.08120757029683645,0.5850531805579849,0.75882064159065
1.0,1.0,0.0,1.0,34.0,0.5287034759796688,0.0,0.04824059132788506,0.0,0.7350649350649351,0.8310316846133958,0.25609756097560976,0.050814013783355705,0.08120757029683645,7.009131600473651e-05,0.75882064159065
1.0,0.0,0.0,7.0,14.0,0.3872766027217577,0.42105263157894735,0.34436000208214035,0.0,0.961038961038961,0.7177091707651841,0.4352134146341464,0.0265429997709834,0.059061307259003826,0.10013312435470818,0.45239285400639406
1.0,1.0,0.0,1.0,44.0,0.01502295458271848,0.21052631578947367,0.3136354172088907,0.0,0.7558441558441559,0.8643379307042744,0.2835365853658538,0.0026910466835357028,0.10280235869533882,0.33917690182143184,0.6198577344600327
1.0,0.0,0.0,5.0,0.0,0.06365797671749467,0.2631578947368421,0.2511451772422049,0.0,0.7428571428571428,0.8757107808861655,0.24542682926829285,0.0014951084194887443,0.1027693016998299,0.11656361149285648,0.6688843466271847
1.0,1.0,0.0,5.0,10.0,0.1381373995737006,0.3157894736842105,0.13690073395450522,0.0,0.7428571428571428,0.8757107808861655,0.24542682926829285,0.0,0.1023818877048619,0.2347764528551439,0.683329736848466
1.0,1.0,0.0,2.0,16.0,0.05551114936874897,0.0,0.31861954088803285,0.0,0.7428571428571428,0.8757107808861655,0.24542682926829285,0.000605392709083219,0.10232539347444458,0.710960136459872,0.6973177972795896
1.0,1.0,0.0,0.0,34.0,0.3584091654369569,0.3684210526315789,0.2997761699026599,0.0382849647483194,0.7428571428571428,0.8850527836597486,0.22942073170731714,0.0034159589832523096,0.09463028461548717,0.7670617390679573,0.8381182200078079
0.0,1.0,0.0,0.0,42.0,0.0,0.47368421052631576,0.34675446358856904,0.0,0.7272727272727272,0.8326563851558011,0.2690548780487805,0.050251306642358884,0.08348343074944253,0.0,0.7698975885385946
0.0,0.0,0.0,0.0,36.0,0.4586612559435973,0.47368421052631576,0.5793555775337047,0.0,0.7402597402597403,0.8269699420307373,0.27515243902439024,0.05349355392245059,0.08190071777406516,0.19164249087845078,0.7720772516815322
1.0,1.0,0.0,0.0,34.0,0.5598253812100344,0.3684210526315789,0.2997761699026599,0.2255595179537629,0.7428571428571428,0.8850527836597486,0.22942073170731714,0.0034159589832523096,0.09463028461548717,0.8183564932229258,0.8381182200078079
0.0,0.0,0.0,5.0,39.0,0.5591285456632235,0.47368421052631576,0.7387174014887303,0.39184702410231187,0.7272727272727272,0.8675873132675582,0.24466463414634143,0.011831325936233483,0.09472980541148246,0.3827437843313406,0.6502402486376763
1.0,1.0,0.0,5.0,10.0,0.028385800950975572,0.47368421052631576,0.079251470511686,0.024061321528119364,0.8077922077922078,0.8517465492666765,0.20960365853658547,0.015965515999852187,0.05645715061291767,0.2547625846884659,0.9166839051543035
1.0,1.0,0.0,5.0,10.0,0.06780824725364813,0.47368421052631576,0.079251470511686,0.005830873913756354,0.8077922077922078,0.8517465492666765,0.20960365853658547,0.015965515999852187,0.05645715061291767,0.16307341990902335,0.9166839051543035
0.0,0.0,0.0,0.0,34.0,0.33988256271519923,0.0,0.0014184581750039046,0.0,0.7350649350649351,0.8310316846133958,0.25609756097560976,0.05040645940287014,0.08155965353470407,0.935632569307352,0.7875434217655378
1.0,1.0,0.0,5.0,6.0,0.015268896540416462,0.7894736842105263,0.2622846285981989,0.0,0.625974025974026,1.0,0.0007621951219513035,0.008752768530269961,0.013208281109694298,0.40625100738945213,0.4617002678683043
1.0,0.0,0.0,7.0,34.0,0.224493769470405,0.3684210526315789,0.04699130706366143,0.0,0.8051948051948051,0.7818846482015704,0.29039634146341475,0.02911675393700186,0.07336956426682306,0.3731742070160469,0.5717857638105825
1.0,0.0,0.0,7.0,47.0,0.3969595425479587,0.0,0.04699130706366143,0.0,0.8051948051948051,0.7818846482015704,0.22141768292682928,0.024261511833740812,0.07304263233030284,0.2948222692537649,0.5717857638105825
1.0,1.0,0.0,7.0,47.0,0.1336694540088539,0.0,0.04699130706366143,0.0,0.8051948051948051,0.7818846482015704,0.22061737804878057,0.026346067118787175,0.0708838671017844,0.07920094654795123,0.5717857638105825
1.0,0.0,0.0,0.0,42.0,0.002367191342843089,0.47368421052631576,0.34675446358856904,0.0,0.7272727272727272,0.8326563851558011,0.2690548780487805,0.050251306642358884,0.08348343074944253,0.0,0.7698975885385946
1.0,1.0,0.0,0.0,42.0,0.002766847024102312,0.47368421052631576,0.34675446358856904,0.0,0.7272727272727272,0.8326563851558011,0.2690548780487805,0.050251306642358884,0.08348343074944253,0.0,0.7698975885385946
1.0,0.0,0.0,0.0,42.0,0.0,0.47368421052631576,0.34675446358856904,0.0,0.7272727272727272,0.8326563851558011,0.2690548780487805,0.050251306642358884,0.08348343074944253,0.0,0.7698975885385946
0.0,1.0,0.0,5.0,17.0,0.12838170191834727,0.21052631578947367,0.2500910936442663,0.0,0.8051948051948051,0.7818846482015704,0.29039634146341475,0.029227365235167113,0.07372129769521152,0.0,0.5740901248943553
1.0,1.0,0.0,1.0,21.0,0.2600426299393343,0.5789473684210527,0.23621883296028315,0.0,0.7844155844155843,0.7948822047747701,0.2705792682926831,0.030255530657703034,0.07501244447211874,0.529925478673963,0.5089523978215632
